"ibge_code","detected","sup_eu","eq_br","sup_br","atrazine_category","simazine_category","atr_plus_sim_same_day_category","atr_plus_sim_same_month_category","atr_plus_sim_same_semestre_category","atr_plus_sim_same_year_category","atrazine_average_category","simazine_average_category"
"110012",17,1,0,0,"c4","c4","c4","c4","c4","c4","c4","c4"
"130260",27,0,0,0,"c4","c4","c4","c4","c4","c4","c4","c4"
"150277",27,0,0,0,"c4","c4","c4","c4","c4","c4","c4","c4"
"170025",27,0,0,0,"c4","c4","c4","c4","c4","c4","c5","c4"
"170030",27,0,0,0,"c4","c4","c4","c4","c4","c4","c4","c4"
"170035",27,0,0,0,"c4","c4","c4","c4","c4","c4","c4","c4"
"170040",27,0,0,0,"c4","c4","c4","c4","c4","c4","c4","c4"
"170070",27,0,0,0,"c4","c4","c4","c4","c4","c4","c4","c4"
"170110",27,0,0,0,"c4","c4","c4","c4","c4","c4","c5","c4"
"170130",27,0,0,0,"c4","c4","c4","c4","c4","c4","c5","c4"
"170190",27,1,0,0,"c4","c4","c4","c4","c4","c4","c5","c4"
"170200",27,0,0,0,"c4","c4","c4","c4","c4","c4","c4","c4"
"170210",27,1,0,1,"c4","c4","c4","c4","c4","c4","c4","c4"
"170215",27,4,1,0,"c4","c4","c4","c4","c4","c4","c4","c4"
"170230",27,0,0,0,"c4","c4","c4","c4","c4","c4","c4","c4"
"170240",27,0,0,0,"c4","c4","c4","c4","c4","c4","c4","c4"
"170255",27,0,0,0,"c4","c4","c4","c4","c4","c4","c4","c4"
"170270",27,0,0,0,"c4","c4","c4","c4","c4","c4","c5","c4"
"170300",27,0,0,0,"c4","c4","c4","c4","c4","c4","c4","c4"
"170305",27,0,0,0,"c4","c4","c4","c4","c4","c4","c5","c4"
"170307",27,0,0,0,"c4","c4","c4","c4","c4","c4","c5","c4"
"170310",27,0,0,0,"c4","c4","c4","c4","c4","c4","c4","c4"
"170320",27,0,0,0,"c4","c4","c4","c4","c4","c4","c5","c4"
"170360",27,0,0,0,"c4","c4","c4","c4","c4","c4","c5","c4"
"170370",27,0,0,0,"c4","c4","c4","c4","c4","c4","c5","c4"
"170380",27,0,0,0,"c4","c4","c4","c4","c4","c4","c4","c4"
"170384",27,1,0,0,"c4","c4","c4","c4","c4","c4","c4","c4"
"170386",27,0,0,0,"c4","c4","c4","c4","c4","c4","c5","c4"
"170388",27,0,0,0,"c4","c4","c4","c4","c4","c4","c5","c4"
"170389",27,0,0,0,"c4","c4","c4","c4","c4","c4","c4","c4"
"170390",27,0,0,0,"c4","c4","c4","c4","c4","c4","c5","c4"
"170410",27,0,0,0,"c4","c4","c4","c4","c4","c4","c5","c4"
"170510",27,0,0,0,"c4","c4","c4","c4","c4","c4","c5","c4"
"170550",27,0,0,0,"c4","c4","c4","c4","c4","c4","c4","c4"
"170555",27,0,0,0,"c4","c4","c4","c4","c4","c4","c4","c4"
"170560",27,0,0,0,"c4","c4","c4","c4","c4","c4","c5","c4"
"170600",27,0,0,0,"c4","c4","c4","c4","c4","c4","c5","c4"
"170610",27,0,0,0,"c4","c4","c4","c4","c4","c4","c4","c4"
"170625",27,0,0,0,"c4","c4","c4","c4","c4","c4","c5","c4"
"170700",27,0,0,0,"c4","c4","c4","c4","c4","c4","c4","c4"
"170710",27,0,0,0,"c4","c4","c4","c4","c4","c4","c5","c4"
"170720",27,0,0,0,"c4","c4","c4","c4","c4","c4","c5","c4"
"170730",27,0,0,0,"c4","c4","c4","c4","c4","c4","c5","c4"
"170740",27,0,0,0,"c3","c3","c3","c3","c3","c3","c5","c3"
"170755",27,1,0,0,"c4","c4","c4","c4","c4","c4","c5","c4"
"170765",27,0,0,0,"c4","c4","c4","c4","c4","c4","c4","c4"
"170770",27,0,0,0,"c4","c4","c4","c4","c4","c4","c4","c4"
"170820",27,0,0,0,"c4","c4","c4","c4","c4","c4","c4","c4"
"170825",27,0,0,0,"c4","c4","c4","c4","c4","c4","c5","c4"
"170830",27,0,0,0,"c4","c4","c4","c4","c4","c4","c5","c4"
"170900",27,0,0,0,"c4","c4","c4","c4","c4","c4","c4","c4"
"170930",27,0,0,0,"c4","c4","c4","c4","c4","c4","c4","c4"
"170950",27,3,0,0,"c4","c4","c4","c4","c4","c4","c4","c4"
"170980",27,0,0,0,"c4","c4","c4","c4","c4","c4","c5","c4"
"171090",27,0,0,0,"c4","c4","c4","c4","c4","c4","c4","c4"
"171110",27,0,0,0,"c4","c4","c4","c4","c4","c4","c5","c4"
"171150",27,0,0,0,"c4","c4","c4","c4","c4","c4","c5","c4"
"171180",27,0,0,0,"c4","c4","c4","c4","c4","c4","c5","c4"
"171190",27,0,0,0,"c4","c4","c4","c4","c4","c4","c4","c4"
"171195",27,1,0,0,"c4","c4","c4","c4","c4","c4","c5","c4"
"171200",27,0,0,0,"c4","c4","c4","c4","c4","c4","c5","c4"
"171240",27,1,0,0,"c4","c4","c4","c4","c4","c4","c5","c4"
